worksheet,Repeat run,Group,Scenario ID,Question number,condition,score
Sheet1 Results,1,L1,L1-1,1,No-RAG,0.68994140625
Sheet1 Results,1,L1,L1-1,1,RAG,0.86279296875
Sheet2 Results,2,L1,L1-1,1,No-RAG,0.68896484375
Sheet2 Results,2,L1,L1-1,1,RAG,0.82666015625
Sheet3 Results,3,L1,L1-1,1,No-RAG,0.6640625
Sheet3 Results,3,L1,L1-1,1,RAG,0.81640625
Sheet1 Results,1,L1,L1-2,2,No-RAG,0.79736328125
Sheet1 Results,1,L1,L1-2,2,RAG,0.88671875
Sheet2 Results,2,L1,L1-2,2,No-RAG,0.7568359375
Sheet2 Results,2,L1,L1-2,2,RAG,0.8935546875
Sheet3 Results,3,L1,L1-2,2,No-RAG,0.78125
Sheet3 Results,3,L1,L1-2,2,RAG,0.888671875
Sheet1 Results,1,L1,L1-3,3,No-RAG,0.875
Sheet1 Results,1,L1,L1-3,3,RAG,0.83935546875
Sheet2 Results,2,L1,L1-3,3,No-RAG,0.89111328125
Sheet2 Results,2,L1,L1-3,3,RAG,0.96484375
Sheet3 Results,3,L1,L1-3,3,No-RAG,0.88037109375
Sheet3 Results,3,L1,L1-3,3,RAG,0.85498046875
Sheet1 Results,1,L1,L1-4,4,No-RAG,0.78857421875
Sheet1 Results,1,L1,L1-4,4,RAG,0.82373046875
Sheet2 Results,2,L1,L1-4,4,No-RAG,0.7998046875
Sheet2 Results,2,L1,L1-4,4,RAG,0.85107421875
Sheet3 Results,3,L1,L1-4,4,No-RAG,0.82666015625
Sheet3 Results,3,L1,L1-4,4,RAG,0.85888671875
Sheet1 Results,1,L1,L1-5,5,No-RAG,0.80810546875
Sheet1 Results,1,L1,L1-5,5,RAG,0.9150390625
Sheet2 Results,2,L1,L1-5,5,No-RAG,0.79736328125
Sheet2 Results,2,L1,L1-5,5,RAG,0.87451171875
Sheet3 Results,3,L1,L1-5,5,No-RAG,0.7880859375
Sheet3 Results,3,L1,L1-5,5,RAG,0.92724609375
Sheet1 Results,1,L1,L1-6,6,No-RAG,0.9443359375
Sheet1 Results,1,L1,L1-6,6,RAG,0.93701171875
Sheet2 Results,2,L1,L1-6,6,No-RAG,0.94580078125
