Group,Scenario ID,Question number,RAGRepeat times,RAGmean,RAGstandard deviation,RAGvariance,RAGCI95lower limit,RAGCI95upper limit,No-RAGRepeat times,No-RAGmean,No-RAGstandard deviation,No-RAGvariance,No-RAGCI95lower limit,No-RAGCI95upper limit
L1,L1-1,1,3,0.8352864583333334,0.024366816263570238,0.0005937417348225911,0.7747559311384574,0.8958169855282093,3,0.6809895833333334,0.014667413923705498,0.0002151330312093099,0.6445537072720562,0.7174254593946106
L1,L1-2,2,3,0.8896484375,0.003521046167445302,1.239776611328125e-05,0.8809016739307436,0.8983952010692564,3,0.7784830729166666,0.020404860008611397,0.00041635831197102863,0.727794590666917,0.8291715551664163
L1,L1-3,3,3,0.8863932291666666,0.06838785214141434,0.00467689832051595,0.716508386638679,1.0562780716946543,3,0.8821614583333334,0.008204481224693073,6.731351216634115e-05,0.8617803971179784,0.9025425195486884
L1,L1-4,4,3,0.8445638020833334,0.018460217290049253,0.00034077962239583337,0.7987060801465848,0.8904215240200819,3,0.8050130208333334,0.01956986742154402,0.00038297971089680993,0.7563987751581241,0.8536272665085426
L1,L1-5,5,3,0.9055989583333334,0.02760552936765195,0.0007620652516682943,0.8370230217791678,0.974174894887499,3,0.7978515625,0.01001869361752109,0.00010037422180175781,0.772963747862552,0.822739377137448
L1,L1-6,6,3,0.9495442708333334,0.012220045146286435,0.00014932950337727865,0.9191879958465279,0.9799005458201389,3,0.94287109375,0.0038756122720672716,1.5020370483398438e-05,0.9332435391489546,0.9524986483510454
L2,L2-1,1,3,0.7893880208333334,0.003176956591136578,1.0093053181966145e-05,0.781496023156795,0.7972800185098717,3,0.6393229166666666,0.004915256793796061,2.4159749348958332e-05,0.6271127419024122,0.6515330914309211
L2,L2-2,2,3,0.77783203125,0.011850254979991794,0.0001404285430908203,0.7483943659607101,0.8072696965392899,3,0.6119791666666666,0.013392917693470513,0.00017937024434407553,0.5787093147543606,0.6452490185789727
L2,L2-3,3,3,0.8154296875,0.019816038952834986,0.00039267539978027344,0.7662039178403591,0.8646554571596409,3,0.7849934895833334,0.011286939093480344,0.0001273949940999349,0.7569551785313372,0.8130318006353295
L2,L2-4,4,3,0.9791666666666666,0.01005827770539087,0.00010116895039876303,0.9541805197037573,1.004152813629576,3,0.7991536458333334,0.014230138668225516,0.0002024968465169271,0.7638040217245958,0.8345032699420709
L2,L2-5,5,3,0.86328125,0.008910296675241533,7.939338684082031e-05,0.8411468460064232,0.8854156539935768,3,0.7200520833333334,0.019630687626464475,0.0003853638966878255,0.6712867518934467,0.7688174147732201
L2,L2-6,6,3,0.9308268229166666,0.006979746628382672,4.871686299641927e-05,0.9134881710988538,0.9481654747344794,3,0.8419596354166666,0.008861105201052214,7.851918538411459e-05,0.8199474298192186,0.8639718410141146
L3,L3-1,1,3,0.8946940104166666,0.017224174443555902,0.0002966721852620443,0.8519067891281934,0.9374812317051399,3,0.81201171875,0.024163755921208247,0.0005838871002197266,0.7519856214093401,0.8720378160906599
L3,L3-2,2,3,0.8004557291666666,0.020039370251251205,0.0004015763600667318,0.7506751738064227,0.8502362845269106,3,0.7150065104166666,0.02594025256400388,0.0006728967030843098,0.650567350770895,0.7794456700624383
L3,L3-3,3,3,0.9554036458333334,0.002408634210115355,5.80151875813802e-06,0.949420266758248,0.9613870249084188,3,0.8942057291666666,0.0017147873946700423,2.940495808919271e-06,0.8899459611319854,0.8984654972013478
L3,L3-4,4,3,0.9033203125,0.020350259750170612,0.00041413307189941406,0.8527674648113128,0.9538731601886872,3,0.8181966145833334,0.007938638280115365,6.302197774251303e-05,0.7984759438519984,0.8379172853146684
L3,L3-5,5,3,0.8870442708333334,0.01744424202404032,0.0003043015797932943,0.8437103713690519,0.9303781702976148,3,0.79296875,0.003996754283140845,1.5974044799804688e-05,0.7830402619607733,0.8028972380392267
L3,L3-6,6,3,0.8992513020833334,0.000281909311127747,7.947285970052084e-08,0.8985510005322761,0.8999516036343906,3,0.8427734375,0.02741776394798136,0.0007517337799072266,0.774663936105795,0.910882938894205
L4,L4-1,1,3,0.9202473958333334,0.004403564211741108,1.9391377766927082e-05,0.9093083359089688,0.931186455757698,3,0.8909505208333334,0.03737930371736286,0.001397212346394857,0.7980951828312137,0.983805858835453
L4,L4-2,2,3,0.8269856770833334,0.020740939939137743,0.0004301865895589192,0.7754623260040112,0.8785090281626555,3,0.58984375,0.007372885190694092,5.435943603515625e-05,0.5715284878536182,0.6081590121463818
L4,L4-3,3,3,0.8727213541666666,0.024031838702930845,0.0005775292714436848,0.8130229573627548,0.9324197509705785,3,0.8282877604166666,0.010164384763018227,0.00010331471761067709,0.8030380289104255,0.8535374919229077
L4,L4-4,4,3,0.8601888020833334,0.04236900936905847,0.0017951329549153645,0.7549383481014564,0.9654392560652103,3,0.8670247395833334,0.009522527653847705,9.067853291829428e-05,0.843369469527518,0.8906800096391487
L4,L4-5,5,3,0.9337565104166666,0.018691246380150513,0.0003493626912434896,0.8873248804046933,0.98018814042864,3,0.9016927083333334,0.005825367893285573,3.393491109212239e-05,0.8872216922649825,0.9161637244016843
L4,L4-6,6,3,0.849609375,0.02198892626796426,0.00048351287841796875,0.7949858540175294,0.9042328959824706,3,0.8263346354166666,0.018595333085399846,0.0003457864125569662,0.7801412672372386,0.8725280035960946
