Item Number,Scenario ID,condition,Dimension 1,Dimension 2,Dimension 3
1,L1-1,RAG,0.16138631,0.26208848,-0.12340381
2,L1-2,RAG,-0.019532437,0.2990136,-0.17804508
3,L1-3,RAG,-0.06649784,0.1574935,-0.10551575
4,L1-4,RAG,-0.12906204,0.2617777,-0.26795146
5,L1-5,RAG,-0.38992912,-0.07811171,0.09368614
6,L1-6,RAG,-0.2697412,-0.19854122,-0.03645176
7,L2-1,RAG,0.29375288,0.15907647,0.2406018
8,L2-2,RAG,0.33233845,0.047853503,0.24375239
9,L2-3,RAG,0.2998106,0.051455144,0.2513645
10,L2-4,RAG,0.37007654,0.0015550108,0.21027254
11,L2-5,RAG,0.3118787,0.114595495,0.16247596
12,L2-6,RAG,0.13460933,0.28684846,-0.22812158
13,L3-1,RAG,-0.19096978,0.06546759,0.13760464
14,L3-2,RAG,-0.31899914,0.11204565,0.17087646
15,L3-3,RAG,-0.2540587,0.23123641,-0.043117583
16,L3-4,RAG,-0.17285962,0.10456961,-0.08271913
17,L3-5,RAG,-0.25224748,0.18962623,0.15434128
18,L3-6,RAG,-0.24270338,0.08225732,0.16475587
19,L4-1,RAG,0.14532581,-0.50771147,-0.22300196
20,L4-2,RAG,0.24929063,-0.0959823,0.18063137
21,L4-3,RAG,0.16555107,-0.15222976,0.06753378
22,L4-4,RAG,-0.20802489,0.0040423106,0.1849631
23,L4-5,RAG,0.17929515,-0.48726287,-0.21902078
24,L4-6,RAG,-0.098667696,-0.27495497,-0.018858254
1,L1-1,No-RAG,0.24788783,0.19070384,-0.12227166
2,L1-2,No-RAG,0.15442058,0.24747272,-0.2377262
3,L1-3,No-RAG,0.004344958,0.16656221,-0.23660359
4,L1-4,No-RAG,0.09117422,0.17518497,-0.3452169
5,L1-5,No-RAG,-0.35017318,-0.07265935,0.027132882
6,L1-6,No-RAG,-0.30305916,-0.25685742,-0.06837038
7,L2-1,No-RAG,0.23416966,0.038533237,0.20910107
8,L2-2,No-RAG,0.2464193,-0.00059500616,0.14608212
9,L2-3,No-RAG,0.20479275,-0.07160381,0.20274921
10,L2-4,No-RAG,0.172165,0.01649273,0.15345342
11,L2-5,No-RAG,0.24525179,-0.043992016,0.047097888
12,L2-6,No-RAG,0.082084864,0.108233884,-0.15122063
13,L3-1,No-RAG,-0.26917535,-0.07290962,0.12365506
14,L3-2,No-RAG,-0.37572214,0.0067864563,0.11694276
15,L3-3,No-RAG,-0.3373279,0.06871956,-0.0143209975
16,L3-4,No-RAG,-0.35049456,-0.041499496,-0.057083502
17,L3-5,No-RAG,-0.32616016,0.010867904,0.055982493
18,L3-6,No-RAG,-0.28972387,-0.038781967,0.068246566
19,L4-1,No-RAG,0.057178427,-0.4931045,-0.21785931
20,L4-2,No-RAG,0.10625467,-0.28651187,0.079778865
21,L4-3,No-RAG,0.1706934,-0.2200377,0.048195686
22,L4-4,No-RAG,-0.2059581,0.005042377,0.17112672
23,L4-5,No-RAG,0.13326827,-0.50466996,-0.13824178
24,L4-6,No-RAG,-0.14428276,-0.30232975,-0.0019348195
1,L1-1,Gold standard,0.14592656,0.284063,-0.20357637
2,L1-2,Gold standard,0.1388118,0.35730043,-0.24155296
3,L1-3,Gold standard,0.09873346,0.21897271,-0.2338496
4,L1-4,Gold standard,0.11787793,0.2842028,-0.38235697
5,L1-5,Gold standard,-0.34066638,0.012829625,0.10972696
6,L1-6,Gold standard,-0.31087866,-0.27306756,-0.041030187
7,L2-1,Gold standard,0.24996059,0.17992324,0.019520998
8,L2-2,Gold standard,0.36361858,0.0008228766,0.120736904
9,L2-3,Gold standard,0.35359186,0.056272414,0.25605345
10,L2-4,Gold standard,0.3530671,0.0041395854,0.21105832
11,L2-5,Gold standard,0.22759537,0.15050064,0.1290396
12,L2-6,Gold standard,0.09416966,0.289497,-0.20916677
13,L3-1,Gold standard,-0.17384857,0.08981071,0.13423815
14,L3-2,Gold standard,-0.28122246,0.11345806,0.21773191
15,L3-3,Gold standard,-0.21028727,0.22281519,-0.053099286
16,L3-4,Gold standard,-0.21240394,0.102966316,-0.111544274
17,L3-5,Gold standard,-0.14704202,0.17864849,0.01157795
18,L3-6,Gold standard,-0.21378614,0.035906754,0.121137366
19,L4-1,Gold standard,0.14387152,-0.47359547,-0.20545255
20,L4-2,Gold standard,0.21567415,-0.053093728,0.029070122
21,L4-3,Gold standard,0.10135281,-0.2160674,-0.0021570716
22,L4-4,Gold standard,-0.023186624,0.024870485,0.06271709
23,L4-5,Gold standard,0.13696769,-0.511739,-0.23246334
24,L4-6,Gold standard,-0.05594881,-0.34469214,-0.10170724
