sub_name,sub_type,rel_type,rel_name,obj_name,obj_type
BSRF,Beijing synchrotron radiation,Beam line,Beam line,1W1A-Diffuse Scattering Experiment Station,Beam line
BSRF,Beijing synchrotron radiation,Beam line,Beam line,1W1B-XAFS Experiment Station,Beam line
BSRF,Beijing synchrotron radiation,Beam line,Beam line,1W2A-Small angle scattering experimental station,Beam line
BSRF,Beijing synchrotron radiation,Beam line,Beam line,1W2B-Comprehensive Experiment Station,Beam line
BSRF,Beijing synchrotron radiation,Beam line,Beam line,3W1-High Energy Experiment Station,Beam line
BSRF,Beijing synchrotron radiation,Beam line,Beam line,"1B3-Lithography, LIGA experimental station",Beam line
BSRF,Beijing synchrotron radiation,Beam line,Beam line,4W1A-X-ray imaging station,Beam line
BSRF,Beijing synchrotron radiation,Beam line,Beam line,4W1B-X-ray fluorescence microanalysis experimental station,Beam line
BSRF,Beijing synchrotron radiation,Beam line,Beam line,4W2-High voltage experimental station,Beam line
BSRF,Beijing synchrotron radiation,Beam line,Beam line,4B8-Vacuum UV Experiment Station,Beam line
BSRF,Beijing synchrotron radiation,Beam line,Beam line,4B7A-Zhongneng Experimental Station,Beam line
BSRF,Beijing synchrotron radiation,Beam line,Beam line,4B7B-Soft X-ray Experiment Station,Beam line
BSRF,Beijing synchrotron radiation,Beam line,Beam line,4B9A-Diffraction Station,Beam line
BSRF,Beijing synchrotron radiation,Beam line,Beam line,4B9B-Photoelectron Spectroscopy Experiment Station,Beam line
1W1A-Diffuse Scattering Experiment Station,1W1A Experimental Station,Research areas,Research areas,"Crystalline material thin films, multilayer film nanomaterials",Research areas
1W1A-Diffuse Scattering Experiment Station,1W1A Experimental Station,experimental techniques,experimental techniques,X-ray coplanar diffraction,experimental techniques
1W1A-Diffuse Scattering Experiment Station,1W1A Experimental Station,experimental techniques,experimental techniques,X-ray coplanar scattering,experimental techniques
1W1A-Diffuse Scattering Experiment Station,1W1A Experimental Station,experimental techniques,experimental techniques,X-ray grazing incidence diffraction,experimental techniques
1W1A-Diffuse Scattering Experiment Station,1W1A Experimental Station,experimental techniques,experimental techniques,X-ray grazing incidence scattering,experimental techniques
1W1A-Diffuse Scattering Experiment Station,1W1A Experimental Station,experimental techniques,experimental techniques,X-ray reflectivity (XRR),experimental techniques
1W1A-Diffuse Scattering Experiment Station,1W1A Experimental Station,experimental techniques,experimental techniques,non-specular scattering,experimental techniques
1W1A-Diffuse Scattering Experiment Station,1W1A Experimental Station,experimental techniques,experimental techniques,Grazing incidence small angle X-ray scattering (GiSAXS),experimental techniques
1W1A-Diffuse Scattering Experiment Station,1W1A Experimental Station,energy range,Spot parameters,8.05 keV (not adjustable),Spot parameters
1W1A-Diffuse Scattering Experiment Station,1W1A Experimental Station,energy resolution,Spot parameters,Energy resolution (△E/E)<4.4×10-4 @ 8.05 keV,Spot parameters
1W1A-Diffuse Scattering Experiment Station,1W1A Experimental Station,Photon flux at sample,Spot parameters,Photon flux at sample (phs/s) >1×1011 @ 8.05 keV,Spot parameters
1W1A-Diffuse Scattering Experiment Station,1W1A Experimental Station,Spot size at sample,Spot parameters,Spot size at sample: 1(H)×0.4(V) mm2,Spot parameters
1W1A-Diffuse Scattering Experiment Station,1W1A Experimental Station,Line station status,Line station status,normal operation,Line station status
1W1B-XAFS Experiment Station,1W1B experimental station,Research areas,Research areas,"Materials science, nanoscience, biomedicine, environmental science, chemistry and chemical engineering, energy catalysis, humanities and archaeology",Research areas
1W1B-XAFS Experiment Station,1W1B experimental station,experimental techniques,experimental techniques,Transmission XAFS,experimental techniques
1W1B-XAFS Experiment Station,1W1B experimental station,experimental techniques,experimental techniques,Fluorescence XAFS,experimental techniques
1W1B-XAFS Experiment Station,1W1B experimental station,energy range,Spot parameters,"Energy range: 4-23 keV,,",Spot parameters
1W1B-XAFS Experiment Station,1W1B experimental station,energy resolution,Spot parameters,Energy resolution (△E/E)<1-3×10-4 @ 9 keV,Spot parameters
1W1B-XAFS Experiment Station,1W1B experimental station,Photon flux at sample,Spot parameters,"Photon flux at the sample (phs/s) >4×1011 @ 9 keV, 2.5 GeV, 200 mA,",Spot parameters
1W1B-XAFS Experiment Station,1W1B experimental station,Spot size at sample,Spot parameters,Spot size at sample: 0.9(H)×0.3(V)mm2,Spot parameters
1W1B-XAFS Experiment Station,1W1B experimental station,Line station status,Line station status,normal operation,Line station status
1W2A-Small angle scattering experimental station,1W2A Experimental Station,Research areas,Research areas,"Nanomaterials, mesoporous materials, biological macromolecules, polymers, etc.",Research areas
1W2A-Small angle scattering experimental station,1W2A Experimental Station,experimental techniques,experimental techniques,Transmission small angle X-ray scattering (SAXS),experimental techniques
1W2A-Small angle scattering experimental station,1W2A Experimental Station,experimental techniques,experimental techniques,Wide-angle X-ray scattering (WAXS),experimental techniques
1W2A-Small angle scattering experimental station,1W2A Experimental Station,experimental techniques,experimental techniques,SAXS - WAXS simultaneous measurement,experimental techniques
1W2A-Small angle scattering experimental station,1W2A Experimental Station,experimental techniques,experimental techniques,Grazing incidence small angle X-ray scattering (GiSAXS),experimental techniques
1W2A-Small angle scattering experimental station,1W2A Experimental Station,experimental techniques,experimental techniques,Wide-angle X-ray scattering (WAXS),experimental techniques
1W2A-Small angle scattering experimental station,1W2A Experimental Station,Small angle scattering resolution,Spot parameters,Small angle scattering resolution: 200 nm,Spot parameters
1W2A-Small angle scattering experimental station,1W2A Experimental Station,Angular resolution,Spot parameters,Angular resolution: 0.5 mrad,Spot parameters
1W2A-Small angle scattering experimental station,1W2A Experimental Station,Incident X-ray wavelength,Spot parameters,Incident X-ray wavelength 1.54 Å,Spot parameters
1W2A-Small angle scattering experimental station,1W2A Experimental Station,energy resolution,Spot parameters,Energy resolution (△E/E)~1×10-3,Spot parameters
1W2A-Small angle scattering experimental station,1W2A Experimental Station,Photon flux at sample,Spot parameters,Photon flux at sample (phs/s) ≥1×1011,Spot parameters
1W2A-Small angle scattering experimental station,1W2A Experimental Station,Sample to detector distance,Spot parameters,"Distance from sample to detector: 0.5~5.0 m, adjustable in stages",Spot parameters
1W2A-Small angle scattering experimental station,1W2A Experimental Station,Spot size on detector,Spot parameters,Spot size on the detector: 1.4 × 0.2 mm2,Spot parameters
1W2A-Small angle scattering experimental station,1W2A Experimental Station,Beam divergence,Spot parameters,Beam divergence ≤0.6 mrad,Spot parameters
1W2A-Small angle scattering experimental station,1W2A Experimental Station,Line station status,Line station status,Stop running,Line station status
1W2B-Comprehensive Experiment Station,1W2B experimental station,Research areas,Research areas,"Development of multi-method experimental techniques, conventional absorption spectroscopy, and methodological research based on high-performance detectors",Research areas
1W2B-Comprehensive Experiment Station,1W2B experimental station,experimental techniques,experimental techniques,X-ray absorption fine structure (XAFS),experimental techniques
1W2B-Comprehensive Experiment Station,1W2B experimental station,experimental techniques,experimental techniques,Laser pump-X-ray probe time-resolved experiment,experimental techniques
1W2B-Comprehensive Experiment Station,1W2B experimental station,experimental techniques,experimental techniques,XAFS/XRD combined experiment,experimental techniques
1W2B-Comprehensive Experiment Station,1W2B experimental station,experimental techniques,experimental techniques,SAXS/WAXS/XAFS combined experiment,experimental techniques
1W2B-Comprehensive Experiment Station,1W2B experimental station,energy range,Spot parameters,Energy range: 5-18 keV,Spot parameters
1W2B-Comprehensive Experiment Station,1W2B experimental station,energy resolution,Spot parameters,Energy resolution (△E/E) is better than 4×10-4,Spot parameters
1W2B-Comprehensive Experiment Station,1W2B experimental station,Photon flux at sample,Spot parameters,Photon flux at sample (phs/s): 1012,Spot parameters
1W2B-Comprehensive Experiment Station,1W2B experimental station,Spot size at sample,Spot parameters,Spot size at sample: 1(H)×0.6(V) mm2,Spot parameters
1W2B-Comprehensive Experiment Station,1W2B experimental station,Line station status,Line station status,normal operation,Line station status
3W1-High Energy Experiment Station,3W1 Experimental Station,Research areas,Research areas,High energy X-ray equipment and technology validation,Research areas
3W1-High Energy Experiment Station,3W1 Experimental Station,experimental techniques,experimental techniques,Imaging (white light & monochromatic light),experimental techniques
3W1-High Energy Experiment Station,3W1 Experimental Station,experimental techniques,experimental techniques,High energy dynamic diffraction PDF,experimental techniques
3W1-High Energy Experiment Station,3W1 Experimental Station,energy range,Spot parameters,Energy range: 40-80 keV white light,Spot parameters
3W1-High Energy Experiment Station,3W1 Experimental Station,energy resolution,Spot parameters,Energy resolution (△E/E)~0.16% @ 50 keV,Spot parameters
3W1-High Energy Experiment Station,3W1 Experimental Station,Photon flux at sample,Spot parameters,Photon flux at sample (phs/s): 6.54×1010 @ 50 keV 2.56×1013 @ white light,Spot parameters
3W1-High Energy Experiment Station,3W1 Experimental Station,Spot size at sample,Spot parameters,Spot size at sample: 3×3 mm2 @ 50 keV 9.37×2.47 mm2 @ white light,Spot parameters
3W1-High Energy Experiment Station,3W1 Experimental Station,Line station status,Line station status,Stop running,Line station status
"1B3-Lithography, LIGA experimental station","1B3-Lithography, LIGA experimental station",Research content,Research content,"Development of X-ray optical components, such as gratings, refractive lenses, etc.",Research areas
"1B3-Lithography, LIGA experimental station","1B3-Lithography, LIGA experimental station",experimental techniques,experimental techniques,nanolithography,experimental techniques
