raw_entity_type,unique_node_count,canonical_entity_class,decision_keep_merge_remove,notes
Spot parameters,134,,,
experimental techniques,87,,,
Beam line,29,,,
HEPS first phase,16,,,
Research areas,12,,,
sample environment,10,,,
Line station status,4,,,
Research content,4,,,
HEPS parameters,2,,,
"1B3-Lithography, LIGA experimental station",1,,,
1W1A Experimental Station,1,,,
1W1B experimental station,1,,,
1W2A Experimental Station,1,,,
1W2B experimental station,1,,,
3W1 Experimental Station,1,,,
4B7A Experiment Station,1,,,
4B7B Experiment Station,1,,,
4B8-Experiment Station,1,,,
4B9A Experiment Station,1,,,
4B9B Experiment Station,1,,,
4W1A Experimental Station,1,,,
4W1B Experimental Station,1,,,
4W2 Experimental Station,1,,,
BM44,1,,,
Beijing synchrotron radiation,1,,,
HEPS trial subject application steps,1,,,
ID02,1,,,
ID05,1,,,
ID07,1,,,
ID08,1,,,
ID09,1,,,
ID19,1,,,
ID23,1,,,
ID30,1,,,
ID31,1,,,
ID33,1,,,
ID46,1,,,
high energy synchrotron radiation,1,,,
