issue,source_row,sub_name,rel_type,rel_name,obj_name,detail
incomplete_triple,268,Hard X-ray Imaging Line Station,,,,subject/relation/object At least one item is empty
incomplete_triple,307,High-resolution nanoelectronic structure line station,,,,subject/relation/object At least one item is empty
incomplete_triple,308,Optical test line station,,,,subject/relation/object At least one item is empty
exact_duplicate_group,39;42,1W2A-Small angle scattering experimental station,,experimental techniques,Wide-angle X-ray scattering (WAXS),appear2 times
exact_duplicate_group,184;197,Engineering Materials Line Station,,Spot parameters,50–170 keV,appear2 times
exact_duplicate_group,185;198,Engineering Materials Line Station,,Spot parameters,10^{-3},appear2 times
exact_duplicate_group,187;200,Engineering Materials Line Station,,Spot parameters,"2×10^{12} phs/s (@100 keV, 200 mA, unfocused)",appear2 times
exact_duplicate_group,189;207,Engineering Materials Line Station,,experimental techniques,Single crystal diffraction,appear2 times
exact_duplicate_group,190;208,Engineering Materials Line Station,,experimental techniques,powder diffraction,appear2 times
exact_duplicate_group,194;209,Engineering Materials Line Station,,experimental techniques,Full field/scan+absorption/phase contrast+projection imaging/CT,appear2 times
exact_duplicate_group,196;206,Engineering Materials Line Station,,experimental techniques,PDF,appear2 times
exact_duplicate_group,241;244,Hard X-ray coherent scattering station,,Spot parameters,Resolution 1–10 nm;,appear2 times
exact_duplicate_group,248;251,Hard X-ray coherent scattering station,,Spot parameters,Time scale 1000 s–1 μs.,appear2 times
relation_label_mismatch,24,1W1A-Diffuse Scattering Experiment Station,energy range,Spot parameters,8.05 keV (not adjustable),rel_type withrel_name Not the same
relation_label_mismatch,25,1W1A-Diffuse Scattering Experiment Station,energy resolution,Spot parameters,Energy resolution (△E/E)<4.4×10-4 @ 8.05 keV,rel_type withrel_name Not the same
relation_label_mismatch,26,1W1A-Diffuse Scattering Experiment Station,Photon flux at sample,Spot parameters,Photon flux at sample (phs/s) >1×1011 @ 8.05 keV,rel_type withrel_name Not the same
relation_label_mismatch,27,1W1A-Diffuse Scattering Experiment Station,Spot size at sample,Spot parameters,Spot size at sample: 1(H)×0.4(V) mm2,rel_type withrel_name Not the same
relation_label_mismatch,32,1W1B-XAFS Experiment Station,energy range,Spot parameters,"Energy range: 4-23 keV,,",rel_type withrel_name Not the same
relation_label_mismatch,33,1W1B-XAFS Experiment Station,energy resolution,Spot parameters,Energy resolution (△E/E)<1-3×10-4 @ 9 keV,rel_type withrel_name Not the same
relation_label_mismatch,34,1W1B-XAFS Experiment Station,Photon flux at sample,Spot parameters,"Photon flux at the sample (phs/s) >4×1011 @ 9 keV, 2.5 GeV, 200 mA,",rel_type withrel_name Not the same
relation_label_mismatch,35,1W1B-XAFS Experiment Station,Spot size at sample,Spot parameters,Spot size at sample: 0.9(H)×0.3(V)mm2,rel_type withrel_name Not the same
relation_label_mismatch,43,1W2A-Small angle scattering experimental station,Small angle scattering resolution,Spot parameters,Small angle scattering resolution: 200 nm,rel_type withrel_name Not the same
relation_label_mismatch,44,1W2A-Small angle scattering experimental station,Angular resolution,Spot parameters,Angular resolution: 0.5 mrad,rel_type withrel_name Not the same
relation_label_mismatch,45,1W2A-Small angle scattering experimental station,Incident X-ray wavelength,Spot parameters,Incident X-ray wavelength 1.54 Å,rel_type withrel_name Not the same
relation_label_mismatch,46,1W2A-Small angle scattering experimental station,energy resolution,Spot parameters,Energy resolution (△E/E)~1×10-3,rel_type withrel_name Not the same
relation_label_mismatch,47,1W2A-Small angle scattering experimental station,Photon flux at sample,Spot parameters,Photon flux at sample (phs/s) ≥1×1011,rel_type withrel_name Not the same
relation_label_mismatch,48,1W2A-Small angle scattering experimental station,Sample to detector distance,Spot parameters,"Distance from sample to detector: 0.5~5.0 m, adjustable in stages",rel_type withrel_name Not the same
relation_label_mismatch,49,1W2A-Small angle scattering experimental station,Spot size on detector,Spot parameters,Spot size on the detector: 1.4 × 0.2 mm2,rel_type withrel_name Not the same
relation_label_mismatch,50,1W2A-Small angle scattering experimental station,Beam divergence,Spot parameters,Beam divergence ≤0.6 mrad,rel_type withrel_name Not the same
relation_label_mismatch,57,1W2B-Comprehensive Experiment Station,energy range,Spot parameters,Energy range: 5-18 keV,rel_type withrel_name Not the same
