raw_rel_type,raw_rel_name,unique_triple_count,canonical_relation,decision_keep_merge_remove,notes
experimental techniques,experimental techniques,85,,,
Beam line,Beam line,29,,,
Line station status,Line station status,28,,,
energy range,Spot parameters,19,,,
Photon flux at sample,Spot parameters,16,,,
energy resolution,Spot parameters,16,,,
construction,HEPS construction,15,,,
Spot size at sample,Spot parameters,11,,,
Research areas,Research areas,10,,,
sample environment,sample environment,10,,,
Materials Engineering Experiment Shed-Experimental Technology,experimental techniques,8,,,
Research content,Research content,6,,,
Luminous flux,Spot parameters,4,,,
Materials Chemistry Experiment Shed-Experimental Technology,experimental techniques,4,,,
Spot size,Spot parameters,3,,,
Angular resolution,Spot parameters,2,,,
Line station status,HEPS construction,2,,,
Maximum spot size,Spot parameters,2,,,
Minimum spot size,Spot parameters,2,,,
Wavelength range,Spot parameters,2,,,
spatial resolution,Spot parameters,2,,,
Application for trial subject,HEPS trial subject application,1,,,
Beam divergence,Spot parameters,1,,,
Energy Resolution-NRS,Spot parameters,1,,,
Energy Resolution-RIXS,Spot parameters,1,,,
Energy Resolution-XRS,Spot parameters,1,,,
Energy range keV,Spot parameters,1,,,
Energy resolution (ΔE/E),Spot parameters,1,,,
FWHM opening angle @Kmax,Spot parameters,1,,,
Field of View-BCDI,Spot parameters,1,,,
Field of View-Ptychography,Spot parameters,1,,,
Field of View-SAXS CDI,Spot parameters,1,,,
Focused spot size is smallest,Spot parameters,1,,,
Focused spot working distance-high resolution mode,Spot parameters,1,,,
Focused spot working distance-in-situ mode,Spot parameters,1,,,
Fundamental light source FWHM divergence angle @Kmax,Spot parameters,1,,,
Fundamental light source FWHM size @Kmax,Spot parameters,1,,,
Imaging highest spatial resolution,Spot parameters,1,,,
Imaging resolution,Spot parameters,1,,,
Incident X-ray wavelength,Spot parameters,1,,,
Light flux at sample-XRS,Spot parameters,1,,,
Light source energy,Spot parameters,1,,,
Luminous Flux-High Resolution Mode,Spot parameters,1,,,
Luminous flux at sample-NRS,Spot parameters,1,,,
Luminous flux at sample-RIXS,Spot parameters,1,,,
Luminous flux-in-situ mode,Spot parameters,1,,,
Materials Chemistry Experiment Shed-Sample Stage Load,Spot parameters,1,,,
Materials Engineering Experiment Shed - Energy Resolution,Spot parameters,1,,,
Materials Engineering Experiment Shed – Energy Range,Spot parameters,1,,,
Materials Engineering Experiment Shed-Light Flux at Sample,Spot parameters,1,,,
Materials Engineering Experiment Shed-Sample Bench Load,Spot parameters,1,,,
Materials chemistry experimental shed-spot size at sample,Spot parameters,1,,,
Materials engineering experimental shed-spot size at sample,Spot parameters,1,,,
Maximum spot,Spot parameters,1,,,
Minimum focus spot - high resolution mode,Spot parameters,1,,,
Minimum focus spot-in-situ mode,Spot parameters,1,,,
Minimum spot,Spot parameters,1,,,
Optical Mode-Nano Mode,Spot parameters,1,,,
Optical mode - Micron mode,Spot parameters,1,,,
Optical mode - white light mode,Spot parameters,1,,,
Photon brightness@30 keV,Spot parameters,1,,,
Photon flux@30 keV,Spot parameters,1,,,
Resolution-Ptychography,Spot parameters,1,,,
Resolution-SAXS CDI,Spot parameters,1,,,
Sample size,Spot parameters,1,,,
Sample to detector distance,Spot parameters,1,,,
Small angle scattering resolution,Spot parameters,1,,,
Spatial scale-SAXS XPCS,Spot parameters,1,,,
Spatial scale-WAXS XPCS,Spot parameters,1,,,
Spot parameters: spot size at sample,Spot parameters,1,,,
Spot size on detector,Spot parameters,1,,,
Spot size-BCDI,Spot parameters,1,,,
Spot size-Ptychography,Spot parameters,1,,,
Spot size-SAXS CDI,Spot parameters,1,,,
Spot size-SAXS XPCS,Spot parameters,1,,,
Spot size-WAXS XPCS,Spot parameters,1,,,
Storage ring energy,HEPS electronic energy,1,,,
Timescale - SAXS XPCS,Spot parameters,1,,,
XRF detection limit,Spot parameters,1,,,
brightness,HEPS brightness,1,,,
coherent flux,Spot parameters,1,,,
cycle length,Spot parameters,1,,,
experimental mode,Spot parameters,1,,,
light source,Spot parameters,1,,,
light type,Spot parameters,1,,,
total length,Spot parameters,1,,,
