relation_type,count
experimental techniques,85
Line station status,30
Beam line,29
energy range,19
Photon flux at sample,16
energy resolution,16
construction,15
Spot size at sample,11
Research areas,10
sample environment,10
Materials Engineering Experiment Shed-Experimental Technology,8
Research content,6
Luminous flux,4
Materials Chemistry Experiment Shed-Experimental Technology,4
Spot size,3
Angular resolution,2
Maximum spot size,2
Minimum spot size,2
Wavelength range,2
spatial resolution,2
Application for trial subject,1
Beam divergence,1
Energy Resolution-NRS,1
Energy Resolution-RIXS,1
Energy Resolution-XRS,1
Energy range keV,1
Energy resolution (ΔE/E),1
FWHM opening angle @Kmax,1
Field of View-BCDI,1
Field of View-Ptychography,1
Field of View-SAXS CDI,1
Focused spot size is smallest,1
Focused spot working distance-high resolution mode,1
Focused spot working distance-in-situ mode,1
Fundamental light source FWHM divergence angle @Kmax,1
Fundamental light source FWHM size @Kmax,1
Imaging highest spatial resolution,1
Imaging resolution,1
Incident X-ray wavelength,1
Light flux at sample-XRS,1
Light source energy,1
Luminous Flux-High Resolution Mode,1
Luminous flux at sample-NRS,1
Luminous flux at sample-RIXS,1
Luminous flux-in-situ mode,1
Materials Chemistry Experiment Shed-Sample Stage Load,1
Materials Engineering Experiment Shed - Energy Resolution,1
Materials Engineering Experiment Shed – Energy Range,1
Materials Engineering Experiment Shed-Light Flux at Sample,1
Materials Engineering Experiment Shed-Sample Bench Load,1
Materials chemistry experimental shed-spot size at sample,1
Materials engineering experimental shed-spot size at sample,1
Maximum spot,1
Minimum focus spot - high resolution mode,1
Minimum focus spot-in-situ mode,1
Minimum spot,1
Optical Mode-Nano Mode,1
Optical mode - Micron mode,1
Optical mode - white light mode,1
Photon brightness@30 keV,1
Photon flux@30 keV,1
Resolution-Ptychography,1
Resolution-SAXS CDI,1
Sample size,1
Sample to detector distance,1
Small angle scattering resolution,1
Spatial scale-SAXS XPCS,1
Spatial scale-WAXS XPCS,1
Spot parameters: spot size at sample,1
Spot size on detector,1
Spot size-BCDI,1
Spot size-Ptychography,1
Spot size-SAXS CDI,1
Spot size-SAXS XPCS,1
Spot size-WAXS XPCS,1
Storage ring energy,1
Timescale - SAXS XPCS,1
XRF detection limit,1
brightness,1
coherent flux,1
cycle length,1
experimental mode,1
light source,1
light type,1
total length,1
