raw_entity_type,unique_node_count,canonical_entity_class,decision_keep_merge_remove,notes
Line station introduction,81,,,
Equipment parameters,68,,,
Research areas,61,,,
experimental techniques,56,,,
Research content,54,,,
line station,40,,,
Beam line,29,,,
Equipment introduction,22,,,
sample environment,19,,,
HEPS first phase,16,,,
Official website page,16,,,
person in charge,16,,,
Experimental procedures,14,,,
Equipment,12,,,
Data processing steps,10,,,
Data processing software,9,,,
Contact person,6,,,
Experimental Operation Manual,6,,,
Sample processing steps,6,,,
Experimental Notes,4,,,
Line station layout diagram,4,,,
Test method,3,,,
HEPS parameters,2,,,
Line station status,2,,,
On and off light operation,2,,,
Project application steps,2,,,
Sample preparation,2,,,
detector,2,,,
Beijing synchrotron radiation,1,,,
Common faults,1,,,
Contact information,1,,,
Entity,1,,,
HEPS trial subject application steps,1,,,
Running status,1,,,
high energy synchrotron radiation,1,,,
storage ring status,1,,,
