raw_rel_type,raw_rel_name,unique_triple_count,canonical_relation,decision_keep_merge_remove,notes
Research content,Research content,37,,,
Research areas,Research areas,35,,,
experimental techniques,experimental techniques,34,,,
Beam line,Beam line,29,,,
Line station status,Line station status,21,,,
Official website page,Official website page,16,,,
construction,HEPS construction,15,,,
Introduction,Introduction,14,,,
person in charge,person in charge,14,,,
Title,Title,11,,,
Main equipment,Main equipment,9,,,
Beijing Synchrotron Radiation Experiment Application Process,Beijing Synchrotron Radiation Experiment Application Process,8,,,
Experiment manual,Experiment manual,8,,,
Equipment parameters,Equipment parameters,4,,,
Experimental methods,Experimental methods,4,,,
Experimental steps,Experimental steps,4,,,
Main experimental methods,Main experimental methods,4,,,
Subject area,Subject area,4,,,
detector,detector,4,,,
Data processing software,Data processing software,3,,,
Line station introduction,Line station introduction,3,,,
PILOT Contact,PILOT Contact,3,,,
beam line station,beam line station,3,,,
scientific goals,scientific goals,3,,,
Applied subject areas,Applied subject areas,2,,,
Energy range keV,Energy range keV,2,,,
Equipment,Main equipment of X-ray diffuse scattering experimental station,2,,,
Equipment introduction,Equipment introduction,2,,,
Line station equipment-sample environment,Line station equipment-sample environment,2,,,
Line station pictures,Line station pictures,2,,,
Line station pictures-1,Line station pictures-1,2,,,
Line station pictures-2,Line station pictures-2,2,,,
Line station status,HEPS construction,2,,,
Main parameters - energy range (keV),Main parameters - energy range (keV),2,,,
Main parameters - energy resolution (ΔE/E),Main parameters - energy resolution (ΔE/E),2,,,
Main parameters - luminous flux,Main parameters - luminous flux,2,,,
Notes on copying experimental data,Notes on copying experimental data,2,,,
On and off light operation,On and off light operation,2,,,
Optical layout top view,Optical layout top view,2,,,
PILOT Contact-1,PILOT Contact-1,2,,,
PILOT Contact-2,PILOT Contact-2,2,,,
Sample environment-low temperature,Sample environment-low temperature,2,,,
sample environment,sample environment,2,,,
4W1B-XRF1.0 software for data processing,4W1B-XRF1.0 software for data processing,1,,,
4W1B-XRF1.0A for data processing,4W1B-XRF1.0A for data processing,1,,,
Absorption Spectroscopy Experimental Procedures,Absorption Spectroscopy Experimental Procedures,1,,,
Alias/abbreviation,Alias/abbreviation,1,,,
Application for trial subject,HEPS trial subject application,1,,,
CDI (Coherent Diffraction Imaging),CDI (Coherent Diffraction Imaging),1,,,
Common faults,Common faults,1,,,
Contact information,Contact information,1,,,
Daisy-PDF,Daisy-PDF,1,,,
Daisy-XPCS,Daisy-XPCS,1,,,
Data Collection and Processing - Collection Software - Paragraph,Data Collection and Processing - Collection Software - Paragraph,1,,,
Data Collection and Processing - Data Collection,Data Collection and Processing - Data Collection,1,,,
Data Collection and Processing - Processing Software - Paragraph,Data Collection and Processing - Processing Software - Paragraph,1,,,
