relation_name,count
Research content,37
Research areas,35
experimental techniques,34
Beam line,29
Line station status,21
HEPS construction,17
Official website page,16
Introduction,14
person in charge,14
Title,11
Main equipment,9
Beijing Synchrotron Radiation Experiment Application Process,8
Experiment manual,8
Equipment parameters,4
Experimental methods,4
Experimental steps,4
Main experimental methods,4
Subject area,4
detector,4
Data processing software,3
Line station introduction,3
PILOT Contact,3
beam line station,3
scientific goals,3
Applied subject areas,2
Energy range keV,2
Equipment introduction,2
Line station equipment-sample environment,2
Line station pictures,2
Line station pictures-1,2
Line station pictures-2,2
Main equipment of X-ray diffuse scattering experimental station,2
Main parameters - energy range (keV),2
Main parameters - energy resolution (ΔE/E),2
Main parameters - luminous flux,2
Notes on copying experimental data,2
On and off light operation,2
Optical layout top view,2
PILOT Contact-1,2
PILOT Contact-2,2
Sample environment-low temperature,2
sample environment,2
4W1B-XRF1.0 software for data processing,1
4W1B-XRF1.0A for data processing,1
Absorption Spectroscopy Experimental Procedures,1
Alias/abbreviation,1
CDI (Coherent Diffraction Imaging),1
Common faults,1
Contact information,1
Daisy-PDF,1
Daisy-XPCS,1
Data Collection and Processing - Collection Software - Paragraph,1
Data Collection and Processing - Data Collection,1
Data Collection and Processing - Processing Software - Paragraph,1
Data Collection and Processing-Automation-Paragraph,1
Data Collection and Processing-Data Processing-Mocupy,1
Data Collection and Processing-Data Processing-WebCT,1
Data collection and processing,1
Data format,1
Data management and computing,1
Design optimization (DAC requirements),1
Detector - Direct Scatter Detector,1
Detector - Indirect Imaging Detector,1
Detector - Point Detector,1
Detector-Area Detector,1
Detector-Configuration,1
EH1 Introduction,1
Energy Resolution-NRS,1
Energy Resolution-RIXS,1
Energy Resolution-XRS,1
Energy resolution ΔE/E,1
Examples of application areas,1
Examples of application fields - in-situ electrochemistry research on solid-state Li-S batteries,1
Examples of application fields-Research on the reduction mechanism of mercury pollution,1
Experimental Method-Powder XRD,1
Experimental Method-Single Crystal XRD,1
Experimental Methods - High Pressure PDF,1
Experimental Methods - Multiparticle XRD,1
Experimental Methods - Radial XRD,1
Experimental Methods - Time-Resolved Diffraction,1
Experimental sample processing,1
Experimental steps for measuring fluorescence absorption spectrum of liquid samples,1
Focused spot size is smallest,1
GIWAXS Batch Test Sample Preparation/Preparation,1
GIWAXS Batch Test Sample Preparation/Prepare Reference Connections,1
General High Pressure Platform (GPT),1
General XRD experimental measurements,1
General introduction,1
Grazing Incidence Diffraction (GID) Measurements,1
HEPS brightness,1
HEPS electronic energy,1
HEPS trial subject application,1
Hard line exposure operation steps,1
He measurement chamber electron yield absorption spectrum measurement experimental steps,1
He measurement chamber fluorescence absorption spectrum measurement experimental steps,1
In situ device - additive manufacturing device,1
In-situ device - dynamic loading device,1
Insert light source and energy spectrum range,1
Introduction to EH2,1
