序号,场景编号,RAG-Gold原始嵌入欧氏距离,No-RAG-Gold原始嵌入欧氏距离,距离差值(No-RAG-RAG),PCA Dimension 1 explained variance ratio,PCA Dimension 2 explained variance ratio,PCA Dimension 3 explained variance ratio
1,L1-1,0.5246855616569519,0.7880714535713196,0.2633858919143677,0.13571591675281525,0.1221570298075676,0.06997793167829514
2,L1-2,0.475922554731369,0.636625349521637,0.16070279479026794,,,
3,L1-3,0.5658506751060486,0.4998209774494171,-0.06602969765663147,,,
4,L1-4,0.5934576988220215,0.6499668955802917,0.056509196758270264,,,
5,L1-5,0.41302600502967834,0.6195741295814514,0.20654812455177307,,,
6,L1-6,0.35504451394081116,0.33456912636756897,-0.020475387573242188,,,
7,L2-1,0.6445949673652649,0.8507151007652283,0.20612013339996338,,,
8,L2-2,0.6716189384460449,0.8893764615058899,0.21775752305984497,,,
9,L2-3,0.5727993249893188,0.6368565559387207,0.06405723094940186,,,
10,L2-4,0.1618613302707672,0.6156148314476013,0.4537535011768341,,,
11,L2-5,0.5342570543289185,0.7727935314178467,0.23853647708892822,,,
12,L2-6,0.3870362341403961,0.5789703130722046,0.19193407893180847,,,
13,L3-1,0.47777801752090454,0.5873307585716248,0.10955274105072021,,,
14,L3-2,0.6672988533973694,0.7356069087982178,0.06830805540084839,,,
15,L3-3,0.30801910161972046,0.46494248509407043,0.15692338347434998,,,
16,L3-4,0.4624292850494385,0.5875563025474548,0.12512701749801636,,,
17,L3-5,0.5024316310882568,0.6482333540916443,0.14580172300338745,,,
18,L3-6,0.4484596848487854,0.5409667491912842,0.09250706434249878,,,
19,L4-1,0.3880021274089813,0.3947933316230774,0.006791204214096069,,,
20,L4-2,0.5559474229812622,0.9143145680427551,0.3583671450614929,,,
21,L4-3,0.47003161907196045,0.6046567559242249,0.1346251368522644,,,
22,L4-4,0.6086938977241516,0.5145177841186523,-0.09417611360549927,,,
23,L4-5,0.40755578875541687,0.45722588896751404,0.04967010021209717,,,
24,L4-6,0.5247961282730103,0.5520826578140259,0.027286529541015625,,,
Mean,All questions,0.4883999526500702,0.6197992563247681,0.13139930367469788,,,
