expert,dimension,system,n_questions,mean_score,CI95_low,CI95_high
1,Correctness,RAG,24,8.458333333333334,7.875,9.0
2,Correctness,RAG,24,9.027777777777777,8.569444444444445,9.444444444444445
3,Correctness,RAG,24,8.708333333333334,8.36111111111111,9.041666666666668
1,Correctness,No-RAG,24,4.638888888888888,4.041666666666667,5.222222222222221
2,Correctness,No-RAG,24,6.847222222222222,6.402777777777779,7.222222222222221
3,Correctness,No-RAG,24,5.166666666666667,4.75,5.5555555555555545
1,Usefulness,RAG,24,8.416666666666666,7.972222222222221,8.819444444444445
2,Usefulness,RAG,24,9.055555555555555,8.652777777777777,9.444444444444445
3,Usefulness,RAG,24,8.63888888888889,8.375,8.88888888888889
1,Usefulness,No-RAG,24,5.75,5.152777777777778,6.3055555555555545
2,Usefulness,No-RAG,24,7.361111111111112,6.9444444444444455,7.6944444444444455
3,Usefulness,No-RAG,24,6.0,5.569444444444444,6.388888888888888
1,Safety,RAG,24,7.277777777777779,6.875,7.625
2,Safety,RAG,24,9.361111111111112,9.083333333333334,9.625
3,Safety,RAG,24,8.222222222222221,7.972222222222222,8.444444444444445
1,Safety,No-RAG,24,6.208333333333333,5.736111111111112,6.611111111111112
2,Safety,No-RAG,24,8.25,7.819444444444444,8.597222222222223
3,Safety,No-RAG,24,6.597222222222221,6.277777777777779,6.888888888888888
