raw_entity_type,unique_node_count,canonical_entity_class,decision_keep_merge_remove,notes
光斑参数,135,,,
实验技术,87,,,
束线,29,,,
HEPS首期,16,,,
研究领域,12,,,
样品环境,10,,,
研究内容,4,,,
线站状态,4,,,
HEPS参数,2,,,
1B3-光刻、LIGA实验站,1,,,
1W1A实验站,1,,,
1W1B实验站,1,,,
1W2A实验站,1,,,
1W2B实验站,1,,,
3W1实验站,1,,,
4B7A实验站,1,,,
4B7B实验站,1,,,
4B8-实验站,1,,,
4B9A实验站,1,,,
4B9B实验站,1,,,
4W1A实验站,1,,,
4W1B实验站,1,,,
4W2实验站,1,,,
BM44,1,,,
HEPS试用课题申请步骤,1,,,
ID02,1,,,
ID05,1,,,
ID07,1,,,
ID08,1,,,
ID09,1,,,
ID19,1,,,
ID23,1,,,
ID30,1,,,
ID31,1,,,
ID33,1,,,
ID46,1,,,
北京同步辐射,1,,,
高能同步辐射,1,,,
