raw_rel_type,raw_rel_name,unique_triple_count,canonical_relation,decision_keep_merge_remove,notes
实验技术,实验技术,85,,,
束线,束线,29,,,
线站状态,线站状态,28,,,
能量范围,光斑参数,19,,,
样品处光子通量,光斑参数,16,,,
能量分辨率,光斑参数,16,,,
建设,HEPS建设,15,,,
样品处光斑尺寸,光斑参数,11,,,
样品环境,样品环境,10,,,
研究领域,研究领域,10,,,
材料工程实验棚屋-实验技术,实验技术,8,,,
研究内容,研究内容,6,,,
光通量,光斑参数,4,,,
材料化学实验棚屋-实验技术,实验技术,4,,,
光斑尺寸,光斑参数,2,,,
最大光斑尺寸,光斑参数,2,,,
最小光斑尺寸,光斑参数,2,,,
波长范围,光斑参数,2,,,
空间分辨率,光斑参数,2,,,
线站状态,HEPS建设,2,,,
角分辨率,光斑参数,2,,,
FWHM张角@Kmax,光斑参数,1,,,
XRF检测限,光斑参数,1,,,
亮度,HEPS亮度,1,,,
储存环能量,HEPS电子能量,1,,,
光子亮度@30 keV,光斑参数,1,,,
光子通量@30 keV,光斑参数,1,,,
光学模式-微米模式,光斑参数,1,,,
光学模式-白光模式,光斑参数,1,,,
光学模式-纳米模式,光斑参数,1,,,
光斑参数样品处光斑尺寸,光斑参数,1,,,
光斑大小,光斑参数,1,,,
光斑尺寸-BCDI,光斑参数,1,,,
光斑尺寸-Ptychography,光斑参数,1,,,
光斑尺寸-SAXS CDI,光斑参数,1,,,
光斑尺寸-SAXS XPCS,光斑参数,1,,,
光斑尺寸-WAXS XPCS,光斑参数,1,,,
光束发散度,光斑参数,1,,,
光源,光斑参数,1,,,
光源能量,光斑参数,1,,,
光类型,光斑参数,1,,,
光通量-原位模式,光斑参数,1,,,
光通量-高分辨模式,光斑参数,1,,,
入射X射线波长,光斑参数,1,,,
分辨率-Ptychography,光斑参数,1,,,
分辨率-SAXS CDI,光斑参数,1,,,
周期长度,光斑参数,1,,,
基波光源FWHM发散角@Kmax,光斑参数,1,,,
基波光源FWHM尺寸@Kmax,光斑参数,1,,,
实验模式,光斑参数,1,,,
小角散射分辨率,光斑参数,1,,,
总长度,光斑参数,1,,,
成像分辨率,光斑参数,1,,,
成像最高空间分辨率,光斑参数,1,,,
探测器上光斑尺寸,光斑参数,1,,,
时间尺度-SAXS XPCS,光斑参数,1,,,
最大光斑,光斑参数,1,,,
最小光斑,光斑参数,1,,,
最小聚焦光斑-原位模式,光斑参数,1,,,
最小聚焦光斑-高分辨模式,光斑参数,1,,,
材料化学实验棚屋-样品台负载,光斑参数,1,,,
材料化学实验棚屋-样品处光斑尺寸,光斑参数,1,,,
材料工程实验棚屋-样品台负载,光斑参数,1,,,
材料工程实验棚屋-样品处光斑尺寸,光斑参数,1,,,
材料工程实验棚屋-样品处光通量,光斑参数,1,,,
材料工程实验棚屋-能量分辨率,光斑参数,1,,,
材料工程实验棚屋-能量范围,光斑参数,1,,,
样品处光通量-NRS,光斑参数,1,,,
样品处光通量-RIXS,光斑参数,1,,,
样品处光通量-XRS,光斑参数,1,,,
样品尺寸,光斑参数,1,,,
样品至探测器距离,光斑参数,1,,,
相干通量,光斑参数,1,,,
空间尺度-SAXS XPCS,光斑参数,1,,,
空间尺度-WAXS XPCS,光斑参数,1,,,
聚焦光斑尺寸最小,光斑参数,1,,,
聚焦光斑工作距离-原位模式,光斑参数,1,,,
聚焦光斑工作距离-高分辨模式,光斑参数,1,,,
能区keV,光斑参数,1,,,
能量分辨率(ΔE/E),光斑参数,1,,,
能量分辨率-NRS,光斑参数,1,,,
能量分辨率-RIXS,光斑参数,1,,,
能量分辨率-XRS,光斑参数,1,,,
视场-BCDI,光斑参数,1,,,
视场-Ptychography,光斑参数,1,,,
视场-SAXS CDI,光斑参数,1,,,
试用课题申请,HEPS试用课题申请,1,,,
