relation_type,count
实验技术,85
线站状态,30
束线,29
能量范围,19
样品处光子通量,16
能量分辨率,16
建设,15
样品处光斑尺寸,11
样品环境,10
研究领域,10
材料工程实验棚屋-实验技术,8
研究内容,6
光通量,4
材料化学实验棚屋-实验技术,4
光斑尺寸,2
最大光斑尺寸,2
最小光斑尺寸,2
波长范围,2
空间分辨率,2
角分辨率,2
FWHM张角@Kmax,1
XRF检测限,1
亮度,1
储存环能量,1
光子亮度@30 keV,1
光子通量@30 keV,1
光学模式-微米模式,1
光学模式-白光模式,1
光学模式-纳米模式,1
光斑参数样品处光斑尺寸,1
光斑大小,1
光斑尺寸-BCDI,1
光斑尺寸-Ptychography,1
光斑尺寸-SAXS CDI,1
光斑尺寸-SAXS XPCS,1
光斑尺寸-WAXS XPCS,1
光束发散度,1
光源,1
光源能量,1
光类型,1
光通量-原位模式,1
光通量-高分辨模式,1
入射X射线波长,1
分辨率-Ptychography,1
分辨率-SAXS CDI,1
周期长度,1
基波光源FWHM发散角@Kmax,1
基波光源FWHM尺寸@Kmax,1
实验模式,1
小角散射分辨率,1
总长度,1
成像分辨率,1
成像最高空间分辨率,1
探测器上光斑尺寸,1
时间尺度-SAXS XPCS,1
最大光斑,1
最小光斑,1
最小聚焦光斑-原位模式,1
最小聚焦光斑-高分辨模式,1
材料化学实验棚屋-样品台负载,1
材料化学实验棚屋-样品处光斑尺寸,1
材料工程实验棚屋-样品台负载,1
材料工程实验棚屋-样品处光斑尺寸,1
材料工程实验棚屋-样品处光通量,1
材料工程实验棚屋-能量分辨率,1
材料工程实验棚屋-能量范围,1
样品处光通量-NRS,1
样品处光通量-RIXS,1
样品处光通量-XRS,1
样品尺寸,1
样品至探测器距离,1
相干通量,1
空间尺度-SAXS XPCS,1
空间尺度-WAXS XPCS,1
聚焦光斑尺寸最小,1
聚焦光斑工作距离-原位模式,1
聚焦光斑工作距离-高分辨模式,1
能区keV,1
能量分辨率(ΔE/E),1
能量分辨率-NRS,1
能量分辨率-RIXS,1
能量分辨率-XRS,1
视场-BCDI,1
视场-Ptychography,1
视场-SAXS CDI,1
试用课题申请,1
