run,dimension,system,n_questions,mean_score,CI95_low,CI95_high
1,Correctness,RAG,24,8.791666666666666,8.430555555555555,9.125000000000002
2,Correctness,RAG,24,8.472222222222223,7.763888888888888,9.069444444444445
3,Correctness,RAG,24,8.930555555555555,8.51388888888889,9.333333333333334
1,Correctness,No-RAG,24,5.6805555555555545,5.097222222222222,6.1944444444444455
2,Correctness,No-RAG,24,5.569444444444444,5.16631944444445,5.944444444444444
3,Correctness,No-RAG,24,5.402777777777779,4.972222222222222,5.805555555555556
1,Usefulness,RAG,24,8.736111111111112,8.402777777777779,9.041666666666668
2,Usefulness,RAG,24,8.541666666666668,8.083333333333334,8.958333333333334
3,Usefulness,RAG,24,8.833333333333334,8.541666666666666,9.111111111111112
1,Usefulness,No-RAG,24,6.527777777777778,6.0,6.986111111111111
2,Usefulness,No-RAG,24,6.333333333333333,5.888888888888888,6.708333333333333
3,Usefulness,No-RAG,24,6.25,5.75,6.6944444444444455
1,Safety,RAG,24,8.305555555555557,8.069444444444445,8.541666666666666
2,Safety,RAG,24,8.416666666666666,8.166666666666668,8.652777777777779
3,Safety,RAG,24,8.138888888888891,7.930555555555556,8.347222222222223
1,Safety,No-RAG,24,7.208333333333333,6.833333333333333,7.541666666666667
2,Safety,No-RAG,24,6.930555555555556,6.472222222222221,7.361111111111112
3,Safety,No-RAG,24,6.916666666666667,6.5694444444444455,7.222222222222222
