raw_entity_type,unique_node_count,canonical_entity_class,decision_keep_merge_remove,notes
线站介绍,81,,,
设备参数,68,,,
研究领域,61,,,
实验技术,56,,,
研究内容,54,,,
线站,40,,,
束线,29,,,
设备介绍,22,,,
样品环境,19,,,
HEPS首期,16,,,
官网页面,16,,,
负责人,16,,,
实验操作步骤,14,,,
设备,12,,,
数据处理步骤,10,,,
数据处理软件,9,,,
实验操作手册,6,,,
样品处理步骤,6,,,
联系人,6,,,
实验注意事项,4,,,
线站布局图,4,,,
测试方法,3,,,
HEPS参数,2,,,
开、关光操作,2,,,
探测器,2,,,
样品制备,2,,,
线站状态,2,,,
课题申请步骤,2,,,
HEPS试用课题申请步骤,1,,,
储存环状态,1,,,
北京同步辐射,1,,,
实体,1,,,
常见故障,1,,,
联系信息,1,,,
运行状态,1,,,
高能同步辐射,1,,,
