relation_type,count
研究内容,37
研究领域,35
实验技术,34
束线,29
线站状态,23
官网页面,16
建设,15
简介,14
负责人,14
标题,11
主要设备,9
北京同步辐射实验申请流程,8
实验手册,8
实验步骤,7
样品制备,5
设备参数,5
主要实验方法,4
学科领域,4
实验方法,4
探测器,4
PILOT联系人,3
光束线站,3
数据处理软件,3
科学目标,3
线站简介,3
PILOT联系人-1,2
PILOT联系人-2,2
主要参数-光通量,2
主要参数-能量分辨率（ΔE/E）,2
主要参数-能量范围（keV）,2
光学布局俯视图,2
实验数据拷贝注意事项,2
应用学科领域,2
开、关光操作,2
样品环境,2
样品环境-低温,2
线站图片,2
线站图片-1,2
线站图片-2,2
线站设备-样品环境,2
设备,2
设备介绍,2
4W1B-XRF1.0 软件进行数据处理,1
4W1B-XRF1.0A 进行数据处理,1
CDI（相干衍射成像）,1
Daisy-PDF,1
Daisy-XPCS,1
EH1简介,1
EH2简介,1
He 测量室电子产额吸收谱测量实验步骤,1
He 测量室荧光吸收谱测量实验步骤,1
PyMca 软件进行数据处理,1
X 射线曝光操作设备,1
XPCS（光子相关谱）,1
主要参数-FWHM张角@Kmax,1
主要参数-光子亮度@30 keV,1
主要参数-光子通量@30 keV,1
主要参数-光源,1
主要参数-光通量-原位模式,1
主要参数-光通量-高分辨模式,1
主要参数-周期长度,1
主要参数-基波光源FWHM发散角@Kmax,1
主要参数-基波光源FWHM尺寸@Kmax,1
主要参数-总长度,1
主要参数-成像分辨率,1
主要参数-探测器,1
主要参数-最大光斑尺寸（H×V）,1
主要参数-最大光斑（H×V）,1
主要参数-最小光斑尺寸（H×V）,1
主要参数-最小光斑（H×V）,1
主要参数-最小聚焦光斑-原位模式,1
主要参数-最小聚焦光斑-高分辨模式,1
主要参数-样品尺寸,1
主要参数-样品环境,1
主要参数-聚焦光斑工作距离-原位模式,1
主要参数-聚焦光斑工作距离-高分辨模式,1
主要参数-能量分辨率,1
主要参数-能量范围,1
主要实验方法-Nano-holography,1
主要实验方法-Ptychography,1
主要实验方法-SEM,1
主要实验方法-nXANES,1
主要实验方法-nXRD,1
主要实验方法-nXRF,1
主要实验方法-常规透射式,1
主要实验方法-掠入射测量,1
主要实验方法-时间分辨,1
主要指标-光斑大小,1
主要指标-光通量,1
主要指标-能量分辨率,1
主要指标-能量范围,1
主要特色,1
主要特色-EH1集成,1
主要特色-EH2集成,1
主要特色-低维结构分析,1
主要特色-偏振分析,1
主要特色-元素识别,1
主要特色-光子高通量,1
主要特色-入射光自由度,1
主要特色-动态探测,1
主要特色-原位平板蛋白质生长和收集模式-支持,1
主要特色-原位平板蛋白质生长和收集模式-说明,1
主要特色-多样化蛋白质数据采集方法-引言,1
主要特色-多样样品环境,1
主要特色-定向共振激发,1
主要特色-快速CTR分析,1
主要特色-探测器组合,1
主要特色-标题,1
主要特色-测量范围大,1
主要特色-点状圆形光斑,1
主要特色-聚焦模式多,1
主要特色-螺旋步进扫描实验方法-段落,1
主要特色-高亮度微聚焦光斑蛋白质晶体学-段落,1
主要特色-高度相干光束,1
主要特色-高自动化的Raster Scan（网格扫描）数据收集-段落,1
亚微米聚焦平台（Sub‑μT）,1
亮度,1
储存环状态,1
储存环能量,1
光学模式-微米模式,1
光学模式-白光模式,1
