场景编号,单独KG回答,单独向量检索回答,RAG,no RAG
L1-1,0.867,0.4937,0.946,0.7827
L1-2,0.8877,0.8945,0.7817,0.806
L1-3,0.865,0.9565,0.973,0.8555
L1-4,0.8447,0.6445,0.769,0.837
L1-5,0.795,0.7866,0.9414,0.8755
L1-6,0.8955,0.8896,0.9995,0.9355
L2-1,0.7163,0.712,0.7173,0.6655
L2-2,0.785,0.8296,0.8677,0.674
L2-3,0.826,0.7725,0.8037,0.818
L2-4,0.9536,0.964,0.987,0.9165
L2-5,0.7534,0.8145,0.8447,0.7065
L2-6,0.9424,0.944,0.94,0.8325
L3-1,0.895,0.846,0.9663,0.857
L3-2,0.79,0.7935,0.8604,0.696
L3-3,0.9116,0.8955,0.959,0.894
L3-4,0.8774,0.872,0.919,0.825
L3-5,0.835,0.8096,0.9424,0.811
L3-6,0.941,0.8477,0.982,0.8564
L4-1,0.936,0.91,0.9277,0.8193
L4-2,0.7114,0.794,0.787,0.5835
L4-3,0.8486,0.841,0.8423,0.7905
L4-4,0.878,0.8496,0.8394,0.857
L4-5,0.928,0.9185,0.93,0.8257
L4-6,0.855,0.82,0.9316,0.8447
